balance,purchases,cash_adv,cash_adv_trx,purchases_trx,prc_full_pay,tenure,credit_limit
95.4,0,0,0,2,0,12,1000
0,6442.95,6442.95,4,0,0.22,12,7000
773.17,0,0,0,12,0,12,7500
1499,205.79,205.79,1,1,0,12,7500
16,0,0,0,1,0,12,1200
1333.28,0,0,0,8,0,12,1800
7091.01,0,0,0,64,1,12,13500
436.2,0,0,0,12,0,12,2300
861.49,0,0,0,5,0,12,7000
1281.6,0,0,0,3,0,12,11000
920.12,0,0,0,12,0,12,1200
1492.18,0,0,0,6,0,12,2000
3217.99,0,0,0,26,0.25,12,3000
2137.93,0,0,0,26,0.08,12,7500
0,346.81,346.81,1,0,0,12,3000
1611.7,2301.49,2301.49,4,11,0,12,8000
0,2784.27,2784.27,3,0,0,8,3000
519,0,0,0,8,0.25,12,2500
504.35,0,0,0,9,0,12,13000
398.64,0,0,0,12,0,12,4000
176.68,0,0,0,8,0,12,2000
6359.95,229.03,229.03,6,92,0,12,11250
815.9,0,0,0,17,0,12,1800
4248.35,7974.42,7974.42,13,13,0,12,9000
0,798.95,798.95,4,0,0,11,6000
399.6,0,0,0,12,0,12,3000
102,244.84,244.84,5,2,0,12,1700
233.28,0,0,0,12,0,12,1000
387.05,2236.15,2236.15,16,8,0,12,10500
100,0,0,0,5,0,12,6900
3038.01,3183.58,3183.58,10,64,0,12,13000
1347.71,175.82,175.82,2,45,0,12,6000
324.95,1189.53,1189.53,3,3,0,12,10500
636.79,0,0,0,11,0.3,12,1200
547.28,0,0,0,14,0,12,11000
0,99.26,99.26,1,0,0,12,1800
0,8873.38,8873.38,11,0,0,11,9000
2380.55,1697.66,1697.66,7,41,0,12,5000
204,2925.7,2925.7,12,2,0,12,9000
963.24,6173.68,6173.68,6,6,0.33,12,7500
0,3133.06,3133.06,3,0,0.17,12,1800
1526.59,2188.42,2188.42,11,27,0.11,12,3000
203.82,0,0,0,1,0,12,4500
0,1481.59,1481.59,1,0,0,12,1500
1525.44,0,0,0,20,0,12,8500
437,184.65,184.65,2,5,0,12,2400
109.74,1013.66,1013.66,1,3,0,8,1700
0,1980.87,1980.87,7,0,0,12,4200
2390.6,0,0,0,87,0.92,12,3300
507.5,695.1,695.1,2,3,0.08,12,4000
901.42,8530.65,8530.65,37,9,0,8,12000
3107.85,0,0,0,18,0,12,2500
0,321.36,321.36,3,0,0,12,3500
1979.22,1981.27,1981.27,1,11,0.2,9,3000
310,0,0,0,8,0,12,1000
1283.9,0,0,0,6,0,12,6000
313.27,668.47,668.47,5,4,0,12,4000
5217.62,0,0,0,42,0.08,12,7500
0,224.58,224.58,3,0,0,11,4000
229,970.59,970.59,4,6,0,12,6000
113,0,0,0,2,0,12,6500
66.2,0,0,0,1,0,12,1600
0,3819.67,3819.67,7,0,0.09,11,4150
840,0,0,0,1,0,12,1600
1887.64,1605.95,1605.95,4,61,0.08,12,1850
412.33,0,0,0,11,0,12,1800
0,908.42,908.42,1,0,0,8,1500
0,382.91,382.91,6,0,0,12,2500
263.5,0,0,0,8,0.08,12,6000
1363.69,0,0,0,4,0,12,1700
419.1,625.4,625.4,4,11,0,12,6250
4523.27,27296.49,27296.49,27,33,0.45,12,7000
0,1474.35,1474.35,3,0,0.25,8,7000
713.9,0,0,0,8,0,10,2250
791.94,0,0,0,7,0,11,6000
561.87,0,0,0,14,0,12,6000
606.11,0,0,0,17,0,12,11000
320,0,0,0,8,0,12,1500
0,38.33,38.33,1,0,0,12,1200
388.66,4621.93,4621.93,7,7,0,12,7000
244.85,0,0,0,13,0.18,12,5000
0,2985.3,2985.3,5,0,0,12,9500
133.05,0,0,0,5,0.44,12,12000
396,0,0,0,12,1,12,1200
4915.6,293.84,293.84,1,50,0,12,9000
1247.8,0,0,0,22,1,12,16500
1603.78,5626,5626,23,23,0,12,11000
2258.01,5251.23,5251.23,21,60,0,12,13500
45,104.24,104.24,1,1,0,12,4500
0,2717.25,2717.25,14,0,0,12,6500
5100.07,370.74,370.74,1,46,0,12,9000
1032.04,4335.92,4335.92,21,17,0.09,11,4000
45.65,495.66,495.66,1,1,0,12,1800
405.6,0,0,0,2,0,12,2400
213.34,0,0,0,3,0,12,2400
0,120.61,120.61,1,0,0,12,1200
739.44,0,0,0,11,0,12,6000
0,1713.98,1713.98,6,0,0,12,4000
79,0,0,0,3,1,12,7000
0,89.85,89.85,1,0,0,7,3000
20,0,0,0,1,0,9,1500
1346.28,0,0,0,12,0,12,2000
2823.8,0,0,0,75,0.08,12,5700
389.96,0,0,0,31,0,12,4500
0,920.31,920.31,1,0,0.08,12,4000
808,959.86,959.86,6,4,0,12,4000
941.64,0,0,0,12,0.08,12,2500
0,5439.47,5439.47,40,0,0,12,8000
423.7,412.4,412.4,2,10,0,12,2000
4478.75,7205.52,7205.52,21,64,0.08,12,9000
1354.86,0,0,0,34,0,12,5500
0,1008.35,1008.35,2,0,0,12,4200
2812.2,2510.35,2510.35,8,81,0,12,8500
0,3360.23,3360.23,11,0,0,12,7000
1508.9,0,0,0,14,1,12,5000
1045.57,0,0,0,25,0,12,3000
2309.78,0,0,0,12,0.33,12,6500
0,576.21,576.21,10,0,0,12,1800
495,0,0,0,2,1,12,7000
0,509.02,509.02,4,0,0,12,3000
6724.26,1686.6,1686.6,10,85,0,12,17000
1174.39,0,0,0,8,0,12,9000
5580.85,0,0,0,75,0,12,8500
0,998.85,998.85,2,0,0,12,3200
0,4614.43,4614.43,9,0,0,12,19000
